# Bootstrapped curve at its nodes: continuously compounded zero rate, discount factor, and instantaneous forward.
# Produced by: fi_report (fixed_income_engine 0.1.0)
# Regenerate:  ./build/fi_report --out reports
scheme,tenor,node_years,zero_rate_pct,discount_factor,instantaneous_forward_pct
linear-zero,1M,0.084932,3.663917,0.99689302,3.654626
linear-zero,2M,0.161644,3.647133,0.99412198,3.683571
linear-zero,3M,0.246575,3.704006,0.99090842,3.718046
linear-zero,4M,0.328767,3.658328,0.98804466,3.497451
linear-zero,6M,0.495890,3.587648,0.98236652,3.414656
linear-zero,1Y,1.000000,3.449131,0.96609674,3.307028
linear-zero,2Y,2.000000,3.439702,0.93351893,3.508662
linear-zero,3Y,3.002740,3.518306,0.89974349,3.777358
linear-zero,5Y,5.002740,3.706615,0.83074507,4.222777
linear-zero,7Y,7.005479,3.931317,0.75926259,4.637935
linear-zero,10Y,10.005479,4.199924,0.65690060,5.043791
linear-zero,20Y,20.013699,4.992025,0.36821481,5.788462
linear-zero,30Y,30.019178,4.996469,0.22315272,5.003136
log-linear-df,1M,0.084932,3.663917,0.99689302,3.646234
log-linear-df,2M,0.161644,3.647133,0.99412198,3.720399
log-linear-df,3M,0.246575,3.704006,0.99090842,3.666771
log-linear-df,4M,0.328767,3.658328,0.98804466,3.484949
log-linear-df,6M,0.495890,3.587648,0.98236652,3.380738
log-linear-df,1Y,1.000000,3.449131,0.96609674,3.371593
log-linear-df,2Y,2.000000,3.439722,0.93351855,3.552526
log-linear-df,3Y,3.002740,3.518204,0.89974624,3.830943
log-linear-df,5Y,5.002740,3.705678,0.83078401,4.238418
log-linear-df,7Y,7.005479,3.929813,0.75934259,4.655547
log-linear-df,10Y,10.005479,4.197144,0.65708339,5.269522
log-linear-df,20Y,20.013699,4.957496,0.37076814,5.360084
log-linear-df,30Y,30.019178,4.972505,0.22476381,4.987516
monotone-convex,1M,0.084932,3.663917,0.99689302,3.645335
monotone-convex,2M,0.161644,3.647133,0.99412198,3.715729
monotone-convex,3M,0.246575,3.704006,0.99090842,3.664386
monotone-convex,4M,0.328767,3.658328,0.98804466,3.497331
monotone-convex,6M,0.495890,3.587648,0.98236652,3.414810
monotone-convex,1Y,1.000000,3.449131,0.96609674,3.352377
monotone-convex,2Y,2.000000,3.439937,0.93351454,3.552830
monotone-convex,3Y,3.002740,3.518518,0.89973775,3.780305
monotone-convex,5Y,5.002740,3.706944,0.83073140,4.240888
monotone-convex,7Y,7.005479,3.931457,0.75925514,4.625822
monotone-convex,10Y,10.005479,4.199632,0.65691983,5.032222
monotone-convex,20Y,20.013699,4.960245,0.37056421,5.350382
monotone-convex,30Y,30.019178,4.966901,0.22514222,4.966901
