# Instantaneous forward rate on a dense grid, per interpolation scheme. This is where the schemes disagree.
# Produced by: fi_report (fixed-income-engine 0.1.0)
# Regenerate:  ./build/fi_report --out reports
tenor_years,linear-zero_forward_pct,log-linear-df_forward_pct,monotone-convex_forward_pct
0.01,3.663917,3.663917,3.672822
0.02,3.663917,3.663917,3.671662
0.03,3.663917,3.663917,3.669730
0.04,3.663917,3.663917,3.667026
0.05,3.663917,3.663917,3.663548
0.06,3.663917,3.663917,3.659297
0.07,3.663917,3.663917,3.654274
0.08,3.663917,3.663917,3.648478
0.09,3.643117,3.628551,3.640664
0.10,3.638741,3.628551,3.632571
0.11,3.634365,3.628551,3.625970
0.12,3.629990,3.628551,3.620861
0.13,3.625614,3.628551,3.617243
0.14,3.621238,3.628551,3.615116
0.15,3.616862,3.628551,3.614839
0.16,3.612486,3.628551,3.690634
0.17,3.766566,3.812248,3.762015
0.18,3.779959,3.812248,3.806638
0.19,3.793351,3.812248,3.839527
0.20,3.806744,3.812248,3.860684
0.21,3.820137,3.812248,3.870107
0.22,3.833529,3.812248,3.861744
0.23,3.846922,3.812248,3.817865
0.24,3.860314,3.812248,3.737324
0.25,3.563166,3.521295,3.633603
0.26,3.552051,3.521295,3.561642
0.27,3.540936,3.521295,3.516387
0.28,3.529821,3.521295,3.497837
0.29,3.518706,3.521295,3.497331
0.30,3.507591,3.521295,3.497331
0.31,3.496476,3.521295,3.497331
0.32,3.485362,3.521295,3.497331
0.33,3.518242,3.448604,3.496394
0.34,3.509783,3.448604,3.488976
0.35,3.501325,3.448604,3.481878
0.36,3.492866,3.448604,3.475102
0.37,3.484408,3.448604,3.468646
0.38,3.475949,3.448604,3.462511
0.39,3.467491,3.448604,3.456696
0.40,3.459033,3.448604,3.451203
0.41,3.450574,3.448604,3.446030
0.42,3.442116,3.448604,3.441178
0.43,3.433657,3.448604,3.436646
0.44,3.425199,3.448604,3.432436
0.45,3.416740,3.448604,3.428546
0.46,3.408282,3.448604,3.424977
0.47,3.399823,3.448604,3.421729
0.48,3.391365,3.448604,3.418802
0.49,3.382906,3.448604,3.416195
0.50,3.449131,3.312872,3.407308
0.51,3.443635,3.312872,3.389982
0.52,3.438140,3.312872,3.373972
0.53,3.432644,3.312872,3.359278
0.54,3.427148,3.312872,3.345899
0.55,3.421653,3.312872,3.333836
0.56,3.416157,3.312872,3.323089
0.57,3.410662,3.312872,3.313657
0.58,3.405166,3.312872,3.305541
0.59,3.399671,3.312872,3.298740
0.60,3.394175,3.312872,3.293255
0.61,3.388680,3.312872,3.289086
0.62,3.383184,3.312872,3.286233
0.63,3.377689,3.312872,3.284695
0.64,3.372193,3.312872,3.284406
0.65,3.366698,3.312872,3.284492
0.66,3.361202,3.312872,3.284680
0.67,3.355707,3.312872,3.284972
0.68,3.350211,3.312872,3.285366
0.69,3.344716,3.312872,3.285864
0.70,3.339220,3.312872,3.286465
0.71,3.333725,3.312872,3.287168
0.72,3.328229,3.312872,3.287975
0.73,3.322734,3.312872,3.288884
0.74,3.317238,3.312872,3.289897
0.75,3.311743,3.312872,3.291013
0.76,3.306247,3.312872,3.292231
0.77,3.300752,3.312872,3.293553
0.78,3.295256,3.312872,3.294977
0.79,3.289761,3.312872,3.296505
0.80,3.284265,3.312872,3.298136
0.81,3.278770,3.312872,3.299869
0.82,3.273274,3.312872,3.301706
0.83,3.267778,3.312872,3.303645
0.84,3.262283,3.312872,3.305688
0.85,3.256787,3.312872,3.307833
0.86,3.251292,3.312872,3.310082
0.87,3.245796,3.312872,3.312434
0.88,3.240301,3.312872,3.314888
0.89,3.234805,3.312872,3.317446
0.90,3.229310,3.312872,3.320106
0.91,3.223814,3.312872,3.322870
0.92,3.218319,3.312872,3.325737
0.93,3.212823,3.312872,3.328706
0.94,3.207328,3.312872,3.331779
0.95,3.201832,3.312872,3.334954
0.96,3.196337,3.312872,3.338233
0.97,3.190841,3.312872,3.341614
0.98,3.185346,3.312872,3.345099
0.99,3.179850,3.312872,3.348687
1.00,3.307028,3.371593,3.352377
1.01,3.439513,3.430314,3.353083
1.02,3.439325,3.430314,3.353816
1.03,3.439136,3.430314,3.354574
1.04,3.438947,3.430314,3.355359
1.05,3.438759,3.430314,3.356170
1.06,3.438570,3.430314,3.357007
1.07,3.438382,3.430314,3.357870
1.08,3.438193,3.430314,3.358760
1.09,3.438005,3.430314,3.359676
1.10,3.437816,3.430314,3.360618
1.11,3.437627,3.430314,3.361587
1.12,3.437439,3.430314,3.362581
1.13,3.437250,3.430314,3.363602
1.14,3.437062,3.430314,3.364649
1.15,3.436873,3.430314,3.365722
1.16,3.436685,3.430314,3.366822
1.17,3.436496,3.430314,3.367948
1.18,3.436307,3.430314,3.369100
1.19,3.436119,3.430314,3.370278
1.20,3.435930,3.430314,3.371482
1.21,3.435742,3.430314,3.372713
1.22,3.435553,3.430314,3.373970
1.23,3.435365,3.430314,3.375253
1.24,3.435176,3.430314,3.376563
1.25,3.434987,3.430314,3.377898
1.26,3.434799,3.430314,3.379260
1.27,3.434610,3.430314,3.380648
1.28,3.434422,3.430314,3.382062
1.29,3.434233,3.430314,3.383503
1.30,3.434045,3.430314,3.384970
1.31,3.433856,3.430314,3.386463
1.32,3.433667,3.430314,3.387982
1.33,3.433479,3.430314,3.389527
1.34,3.433290,3.430314,3.391099
1.35,3.433102,3.430314,3.392697
1.36,3.432913,3.430314,3.394321
1.37,3.432724,3.430314,3.395972
1.38,3.432536,3.430314,3.397648
1.39,3.432347,3.430314,3.399351
1.40,3.432159,3.430314,3.401080
1.41,3.431970,3.430314,3.402836
1.42,3.431782,3.430314,3.404617
1.43,3.431593,3.430314,3.406425
1.44,3.431404,3.430314,3.408259
