# Nelson-Siegel-Svensson fitted to the CMT par yields: market yield, fitted yield, residual.
# Produced by: fi_report (fixed-income-engine 0.1.0)
# Regenerate:  ./build/fi_report --out reports
tenor,tau_years,market_yield_pct,fitted_yield_pct,residual_bp
1M,0.083333,3.7400,3.722824,-1.7176
2M,0.166667,3.6700,3.690024,2.0024
3M,0.250000,3.6700,3.660336,-0.9664
4M,0.333333,3.6300,3.633532,0.3532
6M,0.500000,3.5900,3.587740,-0.2260
1Y,1.000000,3.4800,3.500495,2.0495
2Y,2.000000,3.4700,3.466792,-0.3208
3Y,3.000000,3.5500,3.524514,-2.5486
5Y,5.000000,3.7300,3.725568,-0.4432
7Y,7.000000,3.9400,3.940210,0.0210
10Y,10.000000,4.1800,4.221363,4.1363
20Y,20.000000,4.7900,4.747886,-4.2114
30Y,30.000000,4.8400,4.858716,1.8716
