# Bootstrapped zero curve and discount factors on a dense grid (log-linear interpolation).
# Produced by: fi_report (fixed_income_engine 0.1.0)
# Regenerate:  ./build/fi_report --out reports
tenor_years,zero_rate_pct,discount_factor
0.01,3.663917,0.99963368
0.02,3.663917,0.99926749
0.03,3.663917,0.99890143
0.04,3.663917,0.99853551
0.05,3.663917,0.99816972
0.06,3.663917,0.99780406
0.07,3.663917,0.99743854
0.08,3.663917,0.99707316
0.09,3.661925,0.99670969
0.10,3.658588,0.99634810
0.11,3.655857,0.99598663
0.12,3.653582,0.99562530
0.13,3.651656,0.99526410
0.14,3.650006,0.99490303
0.15,3.648576,0.99454209
0.16,3.647324,0.99418128
0.17,3.655249,0.99380534
0.18,3.663971,0.99342655
0.19,3.671775,0.99304791
0.20,3.678799,0.99266940
0.21,3.685154,0.99229104
0.22,3.690931,0.99191283
0.23,3.696205,0.99153476
0.24,3.701040,0.99115684
0.25,3.701503,0.99078893
0.26,3.694572,0.99044010
0.27,3.688154,0.99009140
0.28,3.682195,0.98974282
0.29,3.676647,0.98939437
0.30,3.671468,0.98904603
0.31,3.666624,0.98869782
0.32,3.662082,0.98834973
0.33,3.657545,0.98800265
0.34,3.651399,0.98766199
0.35,3.645605,0.98732144
0.36,3.640133,0.98698101
0.37,3.634956,0.98664070
0.38,3.630052,0.98630050
0.39,3.625400,0.98596043
0.40,3.620980,0.98562047
0.41,3.616776,0.98528062
0.42,3.612772,0.98494090
0.43,3.608954,0.98460129
0.44,3.605310,0.98426180
0.45,3.601827,0.98392242
0.46,3.598496,0.98358317
0.47,3.595307,0.98324403
0.48,3.592251,0.98290500
0.49,3.589319,0.98256610
0.50,3.585389,0.98223279
0.51,3.580046,0.98190744
0.52,3.574908,0.98158220
0.53,3.569964,0.98125707
0.54,3.565203,0.98093204
0.55,3.560615,0.98060713
0.56,3.556191,0.98028232
0.57,3.551922,0.97995762
0.58,3.547801,0.97963302
0.59,3.543819,0.97930854
0.60,3.539970,0.97898416
0.61,3.536247,0.97865989
0.62,3.532644,0.97833572
0.63,3.529156,0.97801167
0.64,3.525776,0.97768772
0.65,3.522501,0.97736388
0.66,3.519324,0.97704014
0.67,3.516243,0.97671651
0.68,3.513252,0.97639299
0.69,3.510348,0.97606958
0.70,3.507527,0.97574628
0.71,3.504786,0.97542308
0.72,3.502120,0.97509999
0.73,3.499528,0.97477700
0.74,3.497005,0.97445412
0.75,3.494550,0.97413135
0.76,3.492160,0.97380869
0.77,3.489831,0.97348613
0.78,3.487563,0.97316368
0.79,3.485351,0.97284134
0.80,3.483195,0.97251910
0.81,3.481092,0.97219697
0.82,3.479041,0.97187495
0.83,3.477039,0.97155303
0.84,3.475085,0.97123122
0.85,3.473176,0.97090952
0.86,3.471312,0.97058792
0.87,3.469491,0.97026643
0.88,3.467711,0.96994505
0.89,3.465972,0.96962377
0.90,3.464270,0.96930260
0.91,3.462607,0.96898154
0.92,3.460979,0.96866058
0.93,3.459387,0.96833973
0.94,3.457828,0.96801898
0.95,3.456302,0.96769834
0.96,3.454808,0.96737781
0.97,3.453345,0.96705738
0.98,3.451911,0.96673706
0.99,3.450507,0.96641685
1.00,3.449131,0.96609674
1.01,3.448944,0.96576539
1.02,3.448762,0.96543416
1.03,3.448582,0.96510305
1.04,3.448407,0.96477204
1.05,3.448235,0.96444115
1.06,3.448065,0.96411038
1.07,3.447900,0.96377971
1.08,3.447737,0.96344916
1.09,3.447577,0.96311873
1.10,3.447420,0.96278840
1.11,3.447266,0.96245819
1.12,3.447114,0.96212810
1.13,3.446966,0.96179811
1.14,3.446820,0.96146824
1.15,3.446676,0.96113848
1.16,3.446535,0.96080884
1.17,3.446396,0.96047931
1.18,3.446260,0.96014989
1.19,3.446126,0.95982059
1.20,3.445994,0.95949139
1.21,3.445865,0.95916231
1.22,3.445737,0.95883335
1.23,3.445612,0.95850450
1.24,3.445489,0.95817575
1.25,3.445367,0.95784713
1.26,3.445248,0.95751861
1.27,3.445130,0.95719021
1.28,3.445014,0.95686192
1.29,3.444900,0.95653374
1.30,3.444788,0.95620568
1.31,3.444678,0.95587772
1.32,3.444569,0.95554988
1.33,3.444462,0.95522216
1.34,3.444356,0.95489454
1.35,3.444252,0.95456704
1.36,3.444150,0.95423965
1.37,3.444049,0.95391237
1.38,3.443949,0.95358521
1.39,3.443851,0.95325815
1.40,3.443754,0.95293121
1.41,3.443659,0.95260438
1.42,3.443565,0.95227766
1.43,3.443472,0.95195106
1.44,3.443381,0.95162457
1.45,3.443291,0.95129819
1.46,3.443202,0.95097192
1.47,3.443114,0.95064576
1.48,3.443028,0.95031971
1.49,3.442942,0.94999378
1.50,3.442858,0.94966796
1.51,3.442775,0.94934225
1.52,3.442693,0.94901665
1.53,3.442612,0.94869116
1.54,3.442532,0.94836579
1.55,3.442454,0.94804052
1.56,3.442376,0.94771537
1.57,3.442299,0.94739033
1.58,3.442223,0.94706540
1.59,3.442148,0.94674059
1.60,3.442074,0.94641588
1.61,3.442001,0.94609129
1.62,3.441929,0.94576680
1.63,3.441858,0.94544243
1.64,3.441787,0.94511817
1.65,3.441718,0.94479402
1.66,3.441649,0.94446998
1.67,3.441581,0.94414605
1.68,3.441514,0.94382224
1.69,3.441448,0.94349853
1.70,3.441382,0.94317494
1.71,3.441318,0.94285146
1.72,3.441254,0.94252808
1.73,3.441190,0.94220482
1.74,3.441128,0.94188167
1.75,3.441066,0.94155863
1.76,3.441005,0.94123570
1.77,3.440945,0.94091289
1.78,3.440885,0.94059018
1.79,3.440826,0.94026758
1.80,3.440767,0.93994510
1.81,3.440710,0.93962272
1.82,3.440653,0.93930046
1.83,3.440596,0.93897830
1.84,3.440540,0.93865626
1.85,3.440485,0.93833432
1.86,3.440430,0.93801250
